city,cityLabel,population
http://www.wikidata.org/entity/Q3901,Moroni,62351
http://www.wikidata.org/entity/Q3901,Moroni,74749
http://www.wikidata.org/entity/Q3904,Mbabane,90000
http://www.wikidata.org/entity/Q3909,Maseru,519186
http://www.wikidata.org/entity/Q3921,Harare,2150000
http://www.wikidata.org/entity/Q3922,Detmold,73969
http://www.wikidata.org/entity/Q3928,Norderstedt,80420
http://www.wikidata.org/entity/Q3929,Port Louis,149194
http://www.wikidata.org/entity/Q3932,São Tomé,42331
http://www.wikidata.org/entity/Q3932,São Tomé,49541
http://www.wikidata.org/entity/Q3932,São Tomé,49957
http://www.wikidata.org/entity/Q3932,São Tomé,49997
http://www.wikidata.org/entity/Q3932,São Tomé,56166
http://www.wikidata.org/entity/Q3932,São Tomé,65468
http://www.wikidata.org/entity/Q3932,São Tomé,71868
http://www.wikidata.org/entity/Q3935,Windhoek,233529
http://www.wikidata.org/entity/Q3935,Windhoek,322500
http://www.wikidata.org/entity/Q3935,Windhoek,325858
http://www.wikidata.org/entity/Q3935,Windhoek,334580
http://www.wikidata.org/entity/Q3935,Windhoek,395000
http://www.wikidata.org/entity/Q3935,Windhoek,431000
http://www.wikidata.org/entity/Q3939,Dinslaken,67114
http://www.wikidata.org/entity/Q3940,Victoria,24701
http://www.wikidata.org/entity/Q3940,Victoria,24970
http://www.wikidata.org/entity/Q3940,Victoria,26450
http://www.wikidata.org/entity/Q3958,Neubrandenburg,63043
http://www.wikidata.org/entity/Q3992,Liège,195278
http://www.wikidata.org/entity/Q4011,Wesel,60688
http://www.wikidata.org/entity/Q4024,Frankfurt (Oder),56679
http://www.wikidata.org/entity/Q4044,Offenburg,60857
http://www.wikidata.org/entity/Q4045,Fujairah,93673
http://www.wikidata.org/entity/Q4051,Friedrichshafen,61561
http://www.wikidata.org/entity/Q4093,Glasgow,626410
http://www.wikidata.org/entity/Q4108,Bad Salzuflen,54074
http://www.wikidata.org/entity/Q4113,Pulheim,54805
http://www.wikidata.org/entity/Q4133,Nordhorn,54162
http://www.wikidata.org/entity/Q4301,Arusha,416442
http://www.wikidata.org/entity/Q4629,Surat,5935000
http://www.wikidata.org/entity/Q4656,Pula,57053
http://www.wikidata.org/entity/Q4686,Slavonski Brod,56769
http://www.wikidata.org/entity/Q4709,Barquisimeto,1059092
http://www.wikidata.org/entity/Q5029,Colón,72000
http://www.wikidata.org/entity/Q5030,Sagua La Grande,53077
http://www.wikidata.org/entity/Q5045,Lajas,22602
http://www.wikidata.org/entity/Q5112,Adelaide,1295714
http://www.wikidata.org/entity/Q5168,Makhachkala,592976
http://www.wikidata.org/entity/Q5266,Novo Mesto,24183
http://www.wikidata.org/entity/Q5276,Altena,16389
http://www.wikidata.org/entity/Q5316,Rovinj,14294
http://www.wikidata.org/entity/Q5398,Zülpich,20597
http://www.wikidata.org/entity/Q5468,Durban,595061
http://www.wikidata.org/entity/Q5475,Treviso,84954
http://www.wikidata.org/entity/Q5640,Koprivnica,30854
http://www.wikidata.org/entity/Q5687,Jericho,23220
http://www.wikidata.org/entity/Q5713,Mary,126141
http://www.wikidata.org/entity/Q5724,Anuradhapura,63208
http://www.wikidata.org/entity/Q5753,Samarkand,546303
http://www.wikidata.org/entity/Q5760,Thebes,22883
http://www.wikidata.org/entity/Q5764,Bukhara,280187
http://www.wikidata.org/entity/Q5776,Bethlehem,36000
http://www.wikidata.org/entity/Q5832,Axum,66800
http://www.wikidata.org/entity/Q5838,Kabul,4273156
http://www.wikidata.org/entity/Q5867,Vukovar,24938
http://www.wikidata.org/entity/Q5869,Lhasa,867891
http://www.wikidata.org/entity/Q5968,Cuneo,56281
http://www.wikidata.org/entity/Q5980,Alajärvi,10006
http://www.wikidata.org/entity/Q5981,Alavus,12044
http://www.wikidata.org/entity/Q5992,Kauhajoki,13610
http://www.wikidata.org/entity/Q6009,Kauhava,16784
http://www.wikidata.org/entity/Q6016,Kurikka,21734
http://www.wikidata.org/entity/Q6046,Novara,104183
http://www.wikidata.org/entity/Q6088,Alessandria,90987
http://www.wikidata.org/entity/Q6122,Asti,76164
http://www.wikidata.org/entity/Q6157,Seinäjoki,64150
http://www.wikidata.org/entity/Q6172,Ähtäri,6068
http://www.wikidata.org/entity/Q6221,Brescia,196745
http://www.wikidata.org/entity/Q6225,Coventry,362690
http://www.wikidata.org/entity/Q6226,St Albans,82146
http://www.wikidata.org/entity/Q6231,Cremona,72077
http://www.wikidata.org/entity/Q6252,Monza,123598
http://www.wikidata.org/entity/Q6285,Varese,80544
http://www.wikidata.org/entity/Q6364,Uchkuduk,24200
http://www.wikidata.org/entity/Q6397,Avignon,91143
http://www.wikidata.org/entity/Q6454,Calais,72509
http://www.wikidata.org/entity/Q6487,Antalya,2426356
http://www.wikidata.org/entity/Q60,New York City,8804190
http://www.wikidata.org/entity/Q62,San Francisco,873965
http://www.wikidata.org/entity/Q65,Los Angeles,3898747
http://www.wikidata.org/entity/Q70,Bern,133883
http://www.wikidata.org/entity/Q84,London,8908081
http://www.wikidata.org/entity/Q85,Cairo,9606916
http://www.wikidata.org/entity/Q87,Alexandria,4870000
http://www.wikidata.org/entity/Q88,Alexandria,159467
http://www.wikidata.org/entity/Q172,Toronto,2731571
http://www.wikidata.org/entity/Q174,São Paulo,12325232
http://www.wikidata.org/entity/Q216,Vilnius,581475
http://www.wikidata.org/entity/Q226,Nuuk,18326
http://www.wikidata.org/entity/Q269,Tashkent,2571668
http://www.wikidata.org/entity/Q270,Warsaw,1860281
http://www.wikidata.org/entity/Q279,Modena,185273
http://www.wikidata.org/entity/Q334,Singapore,5866139
http://www.wikidata.org/entity/Q350,Cambridge,123867
http://www.wikidata.org/entity/Q384,Skopje,526502
http://www.wikidata.org/entity/Q385,Gdynia,245222
http://www.wikidata.org/entity/Q393,Szczecin,396168
http://www.wikidata.org/entity/Q436,Szczebrzeszyn,4849
http://www.wikidata.org/entity/Q437,Ljubljana,284293
http://www.wikidata.org/entity/Q438,Vrhnika,8888
http://www.wikidata.org/entity/Q439,Wąchock,2568
http://www.wikidata.org/entity/Q490,Milan,1366180
http://www.wikidata.org/entity/Q546,Trieste,204338
http://www.wikidata.org/entity/Q580,Łódź,670642
http://www.wikidata.org/entity/Q585,Oslo,709037
http://www.wikidata.org/entity/Q588,Katowice,285711
http://www.wikidata.org/entity/Q598,Rzeszów,195871
http://www.wikidata.org/entity/Q612,Dubai,3331420
http://www.wikidata.org/entity/Q617,Padua,210440
http://www.wikidata.org/entity/Q622,Ludwigsburg,93117
http://www.wikidata.org/entity/Q628,Bergamo,120923
http://www.wikidata.org/entity/Q641,Venice,254850
http://www.wikidata.org/entity/Q644,Sharm el-Sheikh,73000
http://www.wikidata.org/entity/Q727,Amsterdam,860124
http://www.wikidata.org/entity/Q749,Groningen,202900
http://www.wikidata.org/entity/Q761,Białystok,294242
http://www.wikidata.org/entity/Q768,Supetar,3213
http://www.wikidata.org/entity/Q798,Assen,68836
http://www.wikidata.org/entity/Q802,Nowy Sącz,81281
http://www.wikidata.org/entity/Q956,Beijing,21893095
http://www.wikidata.org/entity/Q992,Amersfoort,157462
http://www.wikidata.org/entity/Q994,Tbilisi,1118035
http://www.wikidata.org/entity/Q1010,Maribor,96211
http://www.wikidata.org/entity/Q1012,Celje,37872
http://www.wikidata.org/entity/Q1012,Celje,37875
http://www.wikidata.org/entity/Q1015,Koper,25753
http://www.wikidata.org/entity/Q1018,Nova Gorica,13031
http://www.wikidata.org/entity/Q1021,Kranj,37553
http://www.wikidata.org/entity/Q1021,Kranj,37941
http://www.wikidata.org/entity/Q1070,Ahmedabad,7645000
http://www.wikidata.org/entity/Q1083,Salerno,133970
http://www.wikidata.org/entity/Q1154,Jamnagar,479920
http://www.wikidata.org/entity/Q1156,Mumbai,15414288
http://www.wikidata.org/entity/Q1218,Jerusalem,919438
http://www.wikidata.org/entity/Q1305,Wageningen,39635
http://www.wikidata.org/entity/Q1308,Como,83320
http://www.wikidata.org/entity/Q1335,Montevideo,1319108
http://www.wikidata.org/entity/Q1352,Chennai,10265000
http://www.wikidata.org/entity/Q1354,Dhaka,16800000
http://www.wikidata.org/entity/Q1355,Bangalore,12327000
http://www.wikidata.org/entity/Q1362,Islamabad,1014825
http://www.wikidata.org/entity/Q1410,Gibraltar,34003
http://www.wikidata.org/entity/Q1449,Genoa,580097
http://www.wikidata.org/entity/Q1486,Buenos Aires,3120612
http://www.wikidata.org/entity/Q1489,Mexico City,9209944
http://www.wikidata.org/entity/Q1513,Nagpur,2405665
http://www.wikidata.org/entity/Q1515,Abidjan,4980000
http://www.wikidata.org/entity/Q1519,Abu Dhabi,1483000
http://www.wikidata.org/entity/Q1524,Athens,664046
http://www.wikidata.org/entity/Q1533,Caracas,2245744
http://www.wikidata.org/entity/Q1538,Pune,5945000
http://www.wikidata.org/entity/Q1555,Guatemala City,1213651
http://www.wikidata.org/entity/Q1640,Osijek,84104
http://www.wikidata.org/entity/Q1647,Rijeka,128624
http://www.wikidata.org/entity/Q1709,Schwerin,95740
http://www.wikidata.org/entity/Q1715,Hanover,535932
http://www.wikidata.org/entity/Q1726,Munich,1487708
http://www.wikidata.org/entity/Q1729,Erfurt,213835
http://www.wikidata.org/entity/Q1731,Dresden,561922
http://www.wikidata.org/entity/Q1733,Magdeburg,236188
http://www.wikidata.org/entity/Q1735,Innsbruck,131961
http://www.wikidata.org/entity/Q1737,Bregenz,29806
http://www.wikidata.org/entity/Q1754,Stockholm,978770
http://www.wikidata.org/entity/Q1757,Helsinki,664921
http://www.wikidata.org/entity/Q1764,Reykjavík,135688
http://www.wikidata.org/entity/Q1780,Bratislava,475503
http://www.wikidata.org/entity/Q1800,Kochi,677381
http://www.wikidata.org/entity/Q1842,Luxembourg,132780
http://www.wikidata.org/entity/Q1848,San Marino,4040
http://www.wikidata.org/entity/Q1850,Phnom Penh,2129371
http://www.wikidata.org/entity/Q1854,Ho Chi Minh City,10380000
http://www.wikidata.org/entity/Q1858,Hanoi,8246600
http://www.wikidata.org/entity/Q1861,Bangkok,5676648
http://www.wikidata.org/entity/Q1862,Wolin,4702
http://www.wikidata.org/entity/Q1863,Andorra la Vella,22151
